handleId,fieldType,name,description,productImageUrl,price,surcharge,visible,inventory,weight,collection,sku,ribbon,discountMode,discountValue,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,additionalInfoTitle7,additionalInfoDescription7,additionalInfoTitle8,additionalInfoDescription8,customTextField1,customTextCharLimit1,customTextMandatory1,brand
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/388_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-WE,,,,Design,DROP_DOWN,Welcome Moose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/380_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-OR,,,,Design,DROP_DOWN,Ornament Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/390_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-WE-1-1,,,,Design,DROP_DOWN,Welcome Rear Facing Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/389_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-WE-1,,,,Design,DROP_DOWN,Welcome Red Tree Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/385_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-TH,,,,Design,DROP_DOWN,The Magic of Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/391_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-WE-1-1-1,,,,Design,DROP_DOWN,Welcome w/ Truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/375_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-EL,,,,Design,DROP_DOWN,Elf Welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/371_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-12,,,,Design,DROP_DOWN,12 Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/374_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-DE-1-1,,,,Design,DROP_DOWN,Deer Tree Scape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Variant,,,https://cdn11.bigcommerce.com/s-5g78ktzkpu/product_images/attribute_rule_images/369_source_1595238540.jpg,0,0.0,TRUE,InStock,,,188-6T,,,,Design,DROP_DOWN,6 Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
